Dato,Tid,NO2,NOx,CO,O3,PM10,PM25,SO2
20-07, 23,    43.72,    70.42,     0.23,    28.18,    15.60,     7.45,     0.70,
20-07, 22,    47.07,    83.09,     0.37,    26.66,    22.85,    10.35,     0.87,
20-07, 21,    36.38,    56.60,     0.27,    31.96,    15.90,     9.40,     0.65,
20-07, 20,    31.63,    50.16,     0.23,    34.59,    13.80,    37.50,     0.50,
20-07, 19,    30.35,    50.69,     0.26,    46.62,    17.05,    13.70,     0.43,
20-07, 18,    36.45,    75.82,     0.35,    48.21,    31.05,     9.85,     1.08,
20-07, 17,    32.67,    61.70,     0.33,    50.65,    23.05,     2.45,     0.81,
20-07, 16,    35.95,    73.24,     0.32,    49.75,    26.90,     9.45,     0.98,
20-07, 15,    32.17,    67.74,     0.32,    48.83,    25.90,    13.20,     1.04,
20-07, 14,    34.59,    84.44,     0.31,    39.98,    31.30,    11.30,     1.19,
20-07, 13,    42.84,    98.20,     0.37,    35.78,    31.10,    11.85,     1.58,
20-07, 12,    65.58,   140.76,     0.35,    30.41,    42.05,    12.60,     1.87,
20-07, 11,    50.38,   115.93,     0.38,    28.73,    39.05,    12.20,     1.89,
20-07, 10,    42.67,   103.10,     0.28,    29.04,    36.25,    10.95,     1.43,
20-07,  9,    39.15,   113.24,     0.26,    24.24,    37.35,    11.45,     1.79,
20-07,  8,    44.27,   122.19,     0.30,    19.05,    41.70,    12.90,     1.95,
20-07,  7,    62.59,   221.48,     0.40,     7.37,    63.75,    17.70,     4.50,
20-07,  6,    68.34,   224.16,     0.36,     7.50,    57.40,    16.70,     3.96,
20-07,  5,    63.30,   251.26,     0.50,     3.28,    63.50,    19.50,     4.74,
20-07,  4,    48.36,   112.39,     0.27,    12.61,    44.70,    13.25,     1.82,
20-07,  3,    26.51,    49.51,     0.22,    24.45,    21.55,     8.75,     0.80,
20-07,  2,    27.61,    40.04,     0.19,    27.96,    18.95,     8.30,     0.43,
20-07,  1,    31.42,    45.22,     0.19,    27.43,    16.25,     8.25,     0.44,
20-07,  0,    31.36,    50.92,     0.29,    33.84,    15.95,     7.50,     0.67,
19-07, 23,    51.40,    95.00,     0.37,    20.25,    22.10,    10.45,     1.22,
19-07, 22,    57.44,   115.21,     0.40,    16.63,    29.15,    12.20,     1.75,
19-07, 21,    47.05,    91.40,     0.33,    25.88,    25.05,    10.00,     1.19,
19-07, 20,    67.14,   149.92,     0.61,    18.47,    26.75,    10.80,     2.54,
19-07, 19,    65.62,   156.43,     0.49,    24.64,    27.05,    10.05,     2.73,
19-07, 18,    70.38,   154.78,     0.51,    25.02,    28.50,    13.15,     2.54,
19-07, 17,    73.28,   144.64,     0.48,    31.25,    35.50,    13.75,     2.24,
19-07, 16,    76.77,   177.99,     0.56,    30.30,    30.65,    10.80,     2.93,
19-07, 15,    78.58,   197.07,     0.60,    28.28,    33.80,    14.00,     3.51,
19-07, 14,    64.21,   178.89,     0.51,    31.62,    40.55,    13.35,     3.29,
19-07, 13,    44.48,   101.60,     0.29,    45.24,    31.05,     9.35,     2.06,
19-07, 12,    48.96,   139.69,     0.25,    39.87,    26.30,     9.05,     2.78,
19-07, 11,    45.73,   123.09,     0.26,    38.31,    29.40,     9.25,     2.44,
19-07, 10,    50.01,   148.56,     0.30,    31.46,    29.10,     9.90,     2.87,
19-07,  9,    45.18,   127.45,     0.22,    28.59,    11.95,     4.30,     2.27,
19-07,  8,    50.69,   136.26,     0.22,    26.13,    30.95,     8.60,     2.46,
19-07,  7,    43.74,   110.29,     0.26,    26.78,    26.35,     8.35,     2.16,
19-07,  6,    44.80,   127.15,     0.30,    20.52,    34.00,    11.00,     2.17,
19-07,  5,    47.59,   153.90,     0.27,    12.74,    33.85,    11.20,     2.94,
19-07,  4,    22.84,    53.69,     0.18,    22.26,    20.50,     8.25,     1.14,
19-07,  3,    15.42,    27.51,     0.17,    30.59,    14.60,     7.10,     0.54,
19-07,  2,     9.59,    16.35,     0.22,    37.15,    10.75,     6.15,     0.55,
19-07,  1,    12.42,    23.27,     0.14,    39.92,     9.30,     5.80,     0.60,
19-07,  0,    14.64,    26.02,     0.19,    41.16,     9.30,     5.70,     0.67,
18-07, 23,    18.33,    37.74,     0.18,    39.06,     8.50,     5.50,     0.74,
18-07, 22,    20.20,    41.22,     0.22,    37.86,     8.05,     5.95,     0.89,
18-07, 21,    27.19,    60.53,     0.27,    29.32,    11.90,     7.70,     1.15,
18-07, 20,    23.65,    59.57,     0.25,    30.45,     9.70,     8.50,     1.12,
18-07, 19,    30.31,    63.51,     0.23,    30.77,    13.70,     9.90,     1.08,
18-07, 18,    27.89,    54.00,     0.22,    34.24,    21.40,     8.85,     0.77,
18-07, 17,    27.28,    58.51,     0.24,    39.17,    31.95,    12.10,     1.06,
18-07, 16,    26.05,    55.13,     0.22,    40.80,    24.15,     8.30,     1.06,
18-07, 15,    31.52,    73.11,     0.26,    39.50,    33.00,    12.95,     1.51,
18-07, 14,    30.63,    82.04,     0.26,    43.09,    35.55,     9.30,     1.58,
18-07, 13,    32.96,    86.23,     0.26,    37.22,    28.05,     8.15,     1.76,
18-07, 12,    35.49,    95.70,     0.23,    36.56,    28.70,     8.50,     1.90,
18-07, 11,    32.82,    83.97,     0.20,    38.31,    30.20,     8.75,     1.68,
18-07, 10,    36.67,    90.41,     0.21,    38.76,    31.40,     8.45,     1.79,
18-07,  9,    45.07,   133.23,     0.22,    33.33,    29.25,     9.40,     2.60,
18-07,  8,    38.95,   101.60,     0.25,    30.57,    29.30,     7.50,     1.95,
18-07,  7,    48.95,   132.28,     0.27,    22.39,    20.00,     8.05,     2.37,
18-07,  6,    52.64,   135.68,     0.30,    15.12,    30.65,     9.40,     2.44,
18-07,  5,    56.76,   199.10,     0.33,    13.39,    32.90,    20.35,     3.86,
18-07,  4,    22.28,    52.25,     0.21,    26.43,    13.40,     6.95,     1.16,
18-07,  3,    12.97,    25.21,     0.16,    35.58,    10.95,     4.50,     0.45,
18-07,  2,     7.21,    10.04,     0.14,    43.74,     7.65,     4.25,     0.30,
18-07,  1,     6.51,     9.24,     0.13,    44.02,     8.35,     4.35,     0.28,
18-07,  0,    12.02,    20.39,     0.19,    42.49,     8.95,     4.95,     0.37,
17-07, 23,    13.19,    22.47,     0.16,    45.16,     9.35,     5.35,     0.27,
17-07, 22,    18.24,    36.27,     0.26,    42.66,    13.05,     6.25,     0.40,
17-07, 21,    18.64,    35.84,     0.23,    44.46,    16.00,     6.90,     0.54,
17-07, 20,    22.06,    46.91,     0.23,    47.54,    15.70,     7.60,     0.77,
17-07, 19,    21.85,    50.20,     0.25,    48.87,    15.95,     6.90,     0.82,
17-07, 18,    19.71,    39.58,     0.21,    52.17,    21.40,     8.10,     0.50,
17-07, 17,    26.03,    53.38,     0.30,    49.68,    24.95,     9.90,     0.68,
17-07, 16,    23.61,    49.78,     0.25,    51.32,    23.30,     8.20,     0.61,
17-07, 15,    20.62,    42.18,     0.21,    56.93,    29.15,     8.15,     0.70,
17-07, 14,    20.06,    39.07,     0.19,    59.18,    21.60,     6.15,     0.55,
17-07, 13,    24.52,    55.21,     0.23,    53.72,    22.90,     8.00,     0.84,
17-07, 12,    29.62,    66.99,     0.20,    51.82,    28.25,     9.20,     1.07,
